"Market order: O00001, 09:30:00, BUY, 100"
"Add limit order: O00052, 09:31:36, BUY, 400, $ 30.69"
"Market order: O00053, 09:31:41, BUY, 500"
"Add limit order: O00054, 09:31:42, SELL, 600, $ 42.39"
"Add limit order: O00055, 09:31:43, BUY, 800, $ 28.02"
"Add limit order: O00056, 09:31:44, BUY, 800, $ 32.58"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Add limit order: O00057, 09:31:46, SELL, 100, $ 42.38"
"Market order: O00058, 09:31:48, BUY, 300"
"Market order: O00059, 09:31:49, SELL, 100"
"Add limit order: O00060, 09:31:53, SELL, 400, $ 36.95"
"Market order: O00061, 09:31:57, SELL, 400"
"Cancel: O00002, 09:30:02, BUY, 400, $ 27.84"
"Market order: O00062, 09:31:59, SELL, 800"
"Market order: O00063, 09:32:00, SELL, 300"
"Market order: O00064, 09:32:02, SELL, 100"
"Add limit order: O00065, 09:32:03, SELL, 200, $ 40.9"
"Cancel: O00027, 09:30:50, BUY, 200, $ 27.59"
"Add limit order: O00066, 09:32:06, SELL, 400, $ 40.75"
"Add limit order: O00067, 09:32:12, BUY, 900, $ 30.33"
"Add limit order: O00068, 09:32:13, SELL, 800, $ 43.77"
"Market order: O00069, 09:32:14, SELL, 600"
"Add limit order: O00070, 09:32:15, SELL, 600, $ 35.22"
"Add limit order: O00071, 09:32:17, SELL, 100, $ 42.44"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Add limit order: O00072, 09:32:22, BUY, 300, $ 33.21"
"Add limit order: O00073, 09:32:23, SELL, 500, $ 38.89"
"Add limit order: O00074, 09:32:25, BUY, 100, $ 32.04"
"Market order: O00075, 09:32:26, BUY, 100"
"Add limit order: O00076, 09:32:28, BUY, 500, $ 29.55"
"Market order: O00077, 09:32:29, SELL, 200"
"Market order: O00078, 09:32:30, SELL, 400"
"Add limit order: O00079, 09:32:31, SELL, 700, $ 39.75"
"Add limit order: O00080, 09:32:32, BUY, 300, $ 28.24"
"Market order: O00081, 09:32:33, BUY, 600"
"Add limit order: O00082, 09:32:35, SELL, 600, $ 38.81"
"Add limit order: O00083, 09:32:42, SELL, 200, $ 37.5"
"Market order: O00084, 09:32:43, SELL, 400"
"Add limit order: O00085, 09:32:44, BUY, 400, $ 31.96"
"Market order: O00086, 09:32:45, SELL, 400"
"Add limit order: O00087, 09:32:46, SELL, 600, $ 41.17"
"Add limit order: O00088, 09:32:50, SELL, 400, $ 37.77"
"Add limit order: O00089, 09:32:52, BUY, 500, $ 32.05"
"Add limit order: O00090, 09:32:53, SELL, 500, $ 41.82"
"Add limit order: O00091, 09:32:55, BUY, 300, $ 33.96"
"Add limit order: O00092, 09:32:57, SELL, 300, $ 43.38"
"Add limit order: O00093, 09:32:58, SELL, 100, $ 42.54"
"Add limit order: O00094, 09:32:59, BUY, 200, $ 29.11"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Cancel: O00009, 09:30:14, BUY, 300, $ 25.72"
"Add limit order: O00095, 09:33:03, BUY, 400, $ 32.55"
"Market order: O00096, 09:33:04, SELL, 200"
"Market order: O00097, 09:33:06, BUY, 200"
"Market order: O00098, 09:33:07, SELL, 700"
"Market order: O00099, 09:33:10, BUY, 300"
"Market order: O00100, 09:33:12, BUY, 900"
"Add limit order: O00101, 09:33:14, BUY, 400, $ 33.42"
"Market order: O00102, 09:33:16, BUY, 100"
"Add limit order: O00103, 09:33:17, BUY, 400, $ 31.12"
"Market order: O00104, 09:33:18, SELL, 200"
"Market order: O00105, 09:33:21, SELL, 500"
"Add limit order: O00106, 09:33:22, BUY, 200, $ 27.11"
"Market order: O00107, 09:33:23, BUY, 800"
"Add limit order: O00108, 09:33:24, BUY, 600, $ 29.58"
"Add limit order: O00109, 09:33:25, SELL, 400, $ 43.55"
"Add limit order: O00110, 09:33:26, SELL, 200, $ 36.11"
"Add limit order: O00111, 09:33:27, SELL, 400, $ 37.93"
"Add limit order: O00112, 09:33:28, SELL, 100, $ 44.18"
"Market order: O00113, 09:33:29, BUY, 300"
"Market order: O00114, 09:33:30, BUY, 700"
"Add limit order: O00115, 09:33:32, BUY, 900, $ 25.73"
"Market order: O00116, 09:33:34, BUY, 300"
"Market order: O00117, 09:33:35, SELL, 500"
"Cancel: O00092, 09:32:57, SELL, 300, $ 43.38"
"Market order: O00118, 09:33:40, SELL, 800"
"Market order: O00119, 09:33:41, BUY, 600"
"Market order: O00120, 09:33:44, SELL, 100"
"Market order: O00121, 09:33:46, BUY, 400"
"Add limit order: O00122, 09:33:47, SELL, 700, $ 37.61"
"Market order: O00123, 09:33:49, BUY, 500"
"Add limit order: O00124, 09:33:50, SELL, 200, $ 41.12"
"Add limit order: O00125, 09:33:51, BUY, 500, $ 32.65"
"Add limit order: O00126, 09:33:52, BUY, 100, $ 34.12"
"Market order: O00127, 09:33:53, SELL, 400"
"Market order: O00128, 09:33:55, SELL, 300"
"Add limit order: O00129, 09:33:56, BUY, 600, $ 25.23"
"Add limit order: O00130, 09:33:57, SELL, 600, $ 42.2"
"Add limit order: O00131, 09:33:59, SELL, 100, $ 38.48"
"Add limit order: O00132, 09:34:00, BUY, 200, $ 28.45"
"Add limit order: O00133, 09:34:04, BUY, 100, $ 25.59"
"Market order: O00134, 09:34:05, BUY, 300"
"Add limit order: O00135, 09:34:06, SELL, 500, $ 36.04"
"Market order: O00136, 09:34:08, SELL, 600"
"Add limit order: O00137, 09:34:09, SELL, 100, $ 40.66"
"Add limit order: O00138, 09:34:10, SELL, 700, $ 41.7"
"Market order: O00139, 09:34:11, SELL, 200"
"Cancel: O00068, 09:32:13, SELL, 800, $ 43.77"
"Market order: O00140, 09:34:15, BUY, 200"
"Market order: O00141, 09:34:16, BUY, 300"
"Market order: O00142, 09:34:17, BUY, 100"
"Add limit order: O00143, 09:34:18, BUY, 400, $ 32.86"
"Add limit order: O00144, 09:34:20, BUY, 500, $ 28.86"
"Add limit order: O00145, 09:34:23, SELL, 500, $ 40.23"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Market order: O00146, 09:34:26, SELL, 300"
"Market order: O00147, 09:34:28, SELL, 400"
"Add limit order: O00148, 09:34:29, SELL, 700, $ 38.52"
"Add limit order: O00149, 09:34:32, SELL, 300, $ 40.45"
"Market order: O00150, 09:34:34, SELL, 100"
"Market order: O00151, 09:34:36, BUY, 200"
"Add limit order: O00152, 09:34:37, BUY, 300, $ 33.99"
"Add limit order: O00153, 09:34:38, SELL, 900, $ 35.43"
"Add limit order: O00154, 09:34:39, SELL, 100, $ 35.72"
"Market order: O00155, 09:34:40, SELL, 300"
"Add limit order: O00156, 09:34:44, BUY, 200, $ 28.73"
"Cancel: O00112, 09:33:28, SELL, 100, $ 44.18"
"Add limit order: O00157, 09:34:47, SELL, 300, $ 42.8"
"Add limit order: O00158, 09:34:48, SELL, 400, $ 36.76"
"Add limit order: O00159, 09:34:49, BUY, 200, $ 27.36"
"Market order: O00160, 09:34:50, BUY, 500"
"Add limit order: O00161, 09:34:51, SELL, 200, $ 35.28"
"Add limit order: O00162, 09:34:52, BUY, 500, $ 32.05"
"Market order: O00163, 09:34:53, BUY, 400"
"Market order: O00164, 09:34:55, BUY, 600"
"Market order: O00165, 09:34:57, SELL, 100"
"Market order: O00166, 09:34:58, SELL, 600"
"Add limit order: O00167, 09:35:02, SELL, 100, $ 37.81"
"Market order: O00168, 09:35:03, BUY, 600"
"Add limit order: O00169, 09:35:07, BUY, 400, $ 29.9"
"Add limit order: O00170, 09:35:08, BUY, 600, $ 27.61"
"Market order: O00171, 09:35:09, BUY, 200"
"Market order: O00172, 09:35:10, BUY, 100"
"Add limit order: O00173, 09:35:14, SELL, 400, $ 43.93"
"Add limit order: O00174, 09:35:17, BUY, 200, $ 26.02"
"Market order: O00175, 09:35:24, SELL, 100"
"Add limit order: O00176, 09:35:25, BUY, 500, $ 31.83"
"Market order: O00177, 09:35:26, BUY, 500"
"Market order: O00178, 09:35:27, BUY, 200"
"Add limit order: O00179, 09:35:28, BUY, 100, $ 32.44"
"Add limit order: O00180, 09:35:29, BUY, 400, $ 25.95"
"Add limit order: O00181, 09:35:32, BUY, 100, $ 27.44"
"Add limit order: O00182, 09:35:33, BUY, 300, $ 29.88"
"Add limit order: O00183, 09:35:34, SELL, 100, $ 42.47"
"Market order: O00184, 09:35:37, BUY, 700"
"Add limit order: O00185, 09:35:38, SELL, 100, $ 37.12"
"Add limit order: O00186, 09:35:39, SELL, 700, $ 39.42"
"Add limit order: O00187, 09:35:41, SELL, 400, $ 39.8"
"Market order: O00188, 09:35:42, SELL, 300"
"Add limit order: O00189, 09:35:43, SELL, 100, $ 36.08"
"Add limit order: O00190, 09:35:46, BUY, 300, $ 29.14"
"Add limit order: O00191, 09:35:47, BUY, 200, $ 30.84"
"Market order: O00192, 09:35:49, SELL, 500"
"Market order: O00193, 09:35:50, BUY, 500"
"Add limit order: O00194, 09:35:54, BUY, 100, $ 26.52"
"Market order: O00195, 09:35:56, BUY, 700"
"Market order: O00196, 09:35:57, BUY, 400"
"Add limit order: O00197, 09:35:58, BUY, 200, $ 32.65"
"Add limit order: O00198, 09:35:59, BUY, 800, $ 27.3"
"Market order: O00199, 09:36:00, BUY, 700"
"Market order: O00200, 09:36:01, SELL, 200"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Market order: O00201, 09:36:04, BUY, 200"
"Market order: O00202, 09:36:05, BUY, 400"
"Market order: O00203, 09:36:06, BUY, 400"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Add limit order: O00204, 09:36:08, BUY, 500, $ 27.11"
"Market order: O00205, 09:36:09, SELL, 600"
"Add limit order: O00206, 09:36:10, SELL, 400, $ 39.69"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Market order: O00207, 09:36:13, BUY, 300"
"Add limit order: O00208, 09:36:14, BUY, 100, $ 26.01"
"Add limit order: O00209, 09:36:15, BUY, 100, $ 29.58"
"Market order: O00210, 09:36:16, SELL, 500"
"Market order: O00211, 09:36:17, BUY, 500"
"Add limit order: O00212, 09:36:18, SELL, 200, $ 36.22"
"Cancel: O00027, 09:30:50, BUY, 200, $ 27.59"
"Add limit order: O00213, 09:36:22, SELL, 100, $ 44.08"
"Add limit order: O00214, 09:36:24, SELL, 300, $ 39.51"
"Add limit order: O00215, 09:36:25, BUY, 500, $ 26.5"
"Add limit order: O00216, 09:36:26, SELL, 400, $ 43.66"
"Market order: O00217, 09:36:27, BUY, 900"
"Add limit order: O00218, 09:36:28, BUY, 500, $ 26.01"
"Add limit order: O00219, 09:36:29, SELL, 800, $ 40.46"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Add limit order: O00220, 09:36:32, SELL, 300, $ 42.99"
"Add limit order: O00221, 09:36:34, BUY, 100, $ 30.88"
"Market order: O00222, 09:36:35, BUY, 500"
"Market order: O00223, 09:36:37, SELL, 100"
"Market order: O00224, 09:36:38, SELL, 900"
"Market order: O00225, 09:36:39, BUY, 100"
"Add limit order: O00226, 09:36:40, SELL, 300, $ 41.53"
"Market order: O00227, 09:36:41, SELL, 200"
"Market order: O00228, 09:36:42, BUY, 400"
"Add limit order: O00229, 09:36:44, SELL, 200, $ 44.34"
"Market order: O00230, 09:36:46, SELL, 200"
"Add limit order: O00231, 09:36:49, BUY, 200, $ 29.12"
"Add limit order: O00232, 09:36:53, SELL, 400, $ 44.23"
"Add limit order: O00233, 09:37:01, BUY, 200, $ 28.85"
"Add limit order: O00234, 09:37:02, SELL, 300, $ 35.65"
"Market order: O00235, 09:37:03, BUY, 600"
"Add limit order: O00236, 09:37:04, BUY, 100, $ 33.25"
"Cancel: O00002, 09:30:02, BUY, 400, $ 27.84"
"Add limit order: O00237, 09:37:06, BUY, 300, $ 31.4"
"Add limit order: O00238, 09:37:09, BUY, 700, $ 25.19"
"Cancel: O00174, 09:35:17, BUY, 200, $ 26.02"
"Add limit order: O00239, 09:37:13, BUY, 100, $ 25.44"
"Market order: O00240, 09:37:14, SELL, 700"
"Market order: O00241, 09:37:16, BUY, 200"
"Market order: O00242, 09:37:17, BUY, 300"
"Add limit order: O00243, 09:37:18, BUY, 400, $ 26.87"
"Market order: O00244, 09:37:19, BUY, 600"
"Market order: O00245, 09:37:21, BUY, 100"
"Add limit order: O00246, 09:37:22, BUY, 200, $ 28.6"
"Market order: O00247, 09:37:24, BUY, 200"
"Add limit order: O00248, 09:37:25, SELL, 300, $ 38.82"
"Cancel: O00181, 09:35:32, BUY, 100, $ 27.44"
"Cancel: O00208, 09:36:14, BUY, 100, $ 26.01"
"Add limit order: O00249, 09:37:33, SELL, 100, $ 41.44"
"Add limit order: O00250, 09:37:35, BUY, 500, $ 28.31"
"Add limit order: O00251, 09:37:36, BUY, 200, $ 28.5"
"Market order: O00252, 09:37:37, SELL, 300"
"Add limit order: O00253, 09:37:38, SELL, 200, $ 35.91"
"Add limit order: O00254, 09:37:40, BUY, 300, $ 27.94"
"Market order: O00255, 09:37:41, BUY, 100"
"Market order: O00256, 09:37:42, SELL, 100"
"Add limit order: O00257, 09:37:43, BUY, 300, $ 34.38"
"Add limit order: O00258, 09:37:44, SELL, 200, $ 44.82"
"Add limit order: O00259, 09:37:46, SELL, 200, $ 39.33"
"Market order: O00260, 09:37:47, BUY, 900"
"Add limit order: O00261, 09:37:48, BUY, 100, $ 29.95"
"Add limit order: O00262, 09:37:49, BUY, 500, $ 27.63"
"Add limit order: O00263, 09:37:50, SELL, 400, $ 40.77"
"Market order: O00264, 09:37:51, SELL, 900"
"Add limit order: O00265, 09:37:52, SELL, 600, $ 44.1"
"Market order: O00266, 09:37:54, BUY, 100"
"Add limit order: O00267, 09:37:55, BUY, 400, $ 30.45"
"Add limit order: O00268, 09:37:56, BUY, 500, $ 32.38"
"Add limit order: O00269, 09:37:58, BUY, 200, $ 32.45"
"Market order: O00270, 09:37:59, BUY, 500"
"Market order: O00271, 09:38:02, SELL, 600"
"Add limit order: O00272, 09:38:03, SELL, 900, $ 39.42"
"Add limit order: O00273, 09:38:05, SELL, 400, $ 37.29"
"Market order: O00274, 09:38:06, BUY, 300"
"Add limit order: O00275, 09:38:07, SELL, 500, $ 35.11"
"Market order: O00276, 09:38:09, SELL, 600"
"Market order: O00277, 09:38:10, BUY, 300"
"Add limit order: O00278, 09:38:11, SELL, 900, $ 36.85"
"Add limit order: O00279, 09:38:12, BUY, 700, $ 28.48"
"Add limit order: O00280, 09:38:15, BUY, 500, $ 31.44"
"Market order: O00281, 09:38:16, SELL, 500"
"Market order: O00282, 09:38:17, SELL, 500"
"Market order: O00283, 09:38:19, SELL, 400"
"Add limit order: O00284, 09:38:20, BUY, 900, $ 30.43"
"Add limit order: O00285, 09:38:21, SELL, 700, $ 38.3"
"Add limit order: O00286, 09:38:22, BUY, 300, $ 28.36"
"Market order: O00287, 09:38:23, BUY, 300"
"Market order: O00288, 09:38:24, SELL, 500"
"Add limit order: O00289, 09:38:25, BUY, 200, $ 25.18"
"Market order: O00290, 09:38:27, SELL, 200"
"Add limit order: O00291, 09:38:30, SELL, 200, $ 36.53"
"Add limit order: O00292, 09:38:32, SELL, 600, $ 44.57"
"Market order: O00293, 09:38:35, SELL, 500"
"Cancel: O00213, 09:36:22, SELL, 100, $ 44.08"
"Market order: O00294, 09:38:37, BUY, 100"
"Market order: O00295, 09:38:38, BUY, 100"
"Cancel: O00239, 09:37:13, BUY, 100, $ 25.44"
"Market order: O00296, 09:38:42, BUY, 600"
"Add limit order: O00297, 09:38:44, SELL, 700, $ 36.23"
"Add limit order: O00298, 09:38:45, BUY, 400, $ 28.18"
"Market order: O00299, 09:38:48, SELL, 200"
"Market order: O00300, 09:38:51, SELL, 400"
"Market order: O00301, 09:38:52, BUY, 200"
"Market order: O00302, 09:38:55, BUY, 100"
"Add limit order: O00303, 09:38:56, SELL, 200, $ 40.42"
"Add limit order: O00304, 09:38:58, BUY, 800, $ 30.84"
"Market order: O00305, 09:38:59, SELL, 400"
"Market order: O00306, 09:39:04, BUY, 200"
"Market order: O00307, 09:39:06, SELL, 500"
"Market order: O00308, 09:39:07, SELL, 100"
"Market order: O00309, 09:39:08, BUY, 900"
"Add limit order: O00310, 09:39:09, BUY, 500, $ 30.61"
"Market order: O00311, 09:39:10, SELL, 500"
"Market order: O00312, 09:39:11, SELL, 900"
"Add limit order: O00313, 09:39:12, BUY, 300, $ 28.93"
"Add limit order: O00314, 09:39:14, BUY, 300, $ 30.63"
"Add limit order: O00315, 09:39:15, BUY, 200, $ 33.29"
"Add limit order: O00316, 09:39:16, BUY, 300, $ 27.31"
"Market order: O00317, 09:39:18, SELL, 700"
"Market order: O00318, 09:39:19, BUY, 300"
"Market order: O00319, 09:39:21, BUY, 300"
"Add limit order: O00320, 09:39:22, BUY, 300, $ 26.8"
"Add limit order: O00321, 09:39:23, SELL, 500, $ 43.88"
"Add limit order: O00322, 09:39:24, SELL, 300, $ 35.48"
"Add limit order: O00323, 09:39:26, SELL, 200, $ 39.69"
"Add limit order: O00324, 09:39:27, SELL, 400, $ 37.2"
"Add limit order: O00325, 09:39:28, SELL, 500, $ 39.97"
"Add limit order: O00326, 09:39:29, SELL, 100, $ 43.37"
"Add limit order: O00327, 09:39:30, SELL, 700, $ 39.2"
"Add limit order: O00328, 09:39:31, SELL, 400, $ 39.58"
"Market order: O00329, 09:39:32, SELL, 100"
"Cancel: O00320, 09:39:22, BUY, 300, $ 26.8"
"Add limit order: O00330, 09:39:34, BUY, 500, $ 30.39"
"Market order: O00331, 09:39:35, SELL, 200"
"Add limit order: O00332, 09:39:36, BUY, 400, $ 31.73"
"Add limit order: O00333, 09:39:37, BUY, 900, $ 32.39"
"Add limit order: O00334, 09:39:38, BUY, 100, $ 28.43"
"Add limit order: O00335, 09:39:40, BUY, 200, $ 27.81"
"Market order: O00336, 09:39:41, SELL, 300"
"Add limit order: O00337, 09:39:43, BUY, 600, $ 26.04"
"Market order: O00338, 09:39:44, BUY, 500"
"Add limit order: O00339, 09:39:45, SELL, 100, $ 43.56"
"Add limit order: O00340, 09:39:46, BUY, 900, $ 28.33"
"Add limit order: O00341, 09:39:48, BUY, 600, $ 26.23"
"Market order: O00342, 09:39:49, BUY, 300"
"Market order: O00343, 09:39:50, BUY, 200"
"Market order: O00344, 09:39:51, BUY, 400"
"Market order: O00345, 09:39:53, SELL, 200"
"Market order: O00346, 09:39:54, BUY, 700"
"Market order: O00347, 09:39:55, BUY, 700"
"Market order: O00348, 09:39:58, BUY, 500"
"Add limit order: O00349, 09:40:01, SELL, 100, $ 41.06"
"Add limit order: O00350, 09:40:05, SELL, 700, $ 40.0"
"Cancel: O00009, 09:30:14, BUY, 300, $ 25.72"
"Add limit order: O00351, 09:40:11, SELL, 100, $ 38.4"
"Add limit order: O00352, 09:40:12, SELL, 100, $ 43.74"
"Add limit order: O00353, 09:40:16, BUY, 100, $ 27.96"
"Market order: O00354, 09:40:17, BUY, 300"
"Market order: O00355, 09:40:18, BUY, 500"
"Add limit order: O00356, 09:40:19, SELL, 800, $ 44.85"
"Market order: O00357, 09:40:22, SELL, 100"
"Add limit order: O00358, 09:40:23, BUY, 800, $ 30.37"
"Market order: O00359, 09:40:24, BUY, 600"
"Add limit order: O00360, 09:40:27, SELL, 700, $ 44.49"
"Cancel: O00050, 09:31:34, SELL, 400, $ 43.73"
"Add limit order: O00361, 09:40:29, SELL, 900, $ 35.9"
"Add limit order: O00362, 09:40:30, SELL, 900, $ 36.72"
"Add limit order: O00363, 09:40:33, BUY, 400, $ 30.67"
"Market order: O00364, 09:40:34, BUY, 100"
"Add limit order: O00365, 09:40:35, BUY, 500, $ 26.88"
"Add limit order: O00366, 09:40:37, BUY, 200, $ 30.61"
"Add limit order: O00367, 09:40:39, BUY, 100, $ 27.07"
"Add limit order: O00368, 09:40:40, BUY, 200, $ 26.14"
"Add limit order: O00369, 09:40:41, SELL, 500, $ 41.86"
"Market order: O00370, 09:40:42, BUY, 500"
"Add limit order: O00371, 09:40:44, BUY, 800, $ 33.66"
"Market order: O00372, 09:40:45, BUY, 100"
"Add limit order: O00373, 09:40:46, BUY, 300, $ 25.15"
"Market order: O00374, 09:40:48, SELL, 100"
"Market order: O00375, 09:40:49, BUY, 100"
"Cancel: O00239, 09:37:13, BUY, 100, $ 25.44"
"Add limit order: O00376, 09:40:55, SELL, 400, $ 41.22"
"Market order: O00377, 09:41:02, BUY, 200"
"Add limit order: O00378, 09:41:04, SELL, 800, $ 39.56"
"Market order: O00379, 09:41:07, SELL, 100"
"Add limit order: O00380, 09:41:08, BUY, 800, $ 30.75"
"Add limit order: O00381, 09:41:09, BUY, 200, $ 25.19"
"Add limit order: O00382, 09:41:10, SELL, 300, $ 44.14"
"Market order: O00383, 09:41:11, SELL, 600"
"Add limit order: O00384, 09:41:12, BUY, 400, $ 31.52"
"Add limit order: O00385, 09:41:13, BUY, 200, $ 34.71"
"Add limit order: O00386, 09:41:14, SELL, 300, $ 44.56"
"Add limit order: O00387, 09:41:16, BUY, 900, $ 31.28"
"Market order: O00388, 09:41:18, SELL, 400"
"Market order: O00389, 09:41:19, BUY, 600"
"Add limit order: O00390, 09:41:22, SELL, 300, $ 35.98"
"Add limit order: O00391, 09:41:24, BUY, 200, $ 34.66"
"Market order: O00392, 09:41:26, SELL, 100"
"Market order: O00393, 09:41:28, BUY, 100"
"Add limit order: O00394, 09:41:31, SELL, 300, $ 39.26"
"Add limit order: O00395, 09:41:34, SELL, 600, $ 37.1"
"Add limit order: O00396, 09:41:35, SELL, 100, $ 37.41"
"Market order: O00397, 09:41:36, BUY, 500"
"Add limit order: O00398, 09:41:39, SELL, 400, $ 38.62"
"Add limit order: O00399, 09:41:40, BUY, 500, $ 28.57"
"Market order: O00400, 09:41:41, SELL, 700"
"Add limit order: O00401, 09:41:44, SELL, 200, $ 38.16"
"Add limit order: O00402, 09:41:45, SELL, 400, $ 36.84"
"Add limit order: O00403, 09:41:46, BUY, 600, $ 30.45"
"Add limit order: O00404, 09:41:47, BUY, 500, $ 26.75"
"Market order: O00405, 09:41:48, BUY, 500"
"Add limit order: O00406, 09:41:49, SELL, 500, $ 40.22"
"Market order: O00407, 09:41:51, SELL, 200"
"Market order: O00408, 09:41:52, SELL, 200"
"Cancel: O00009, 09:30:14, BUY, 300, $ 25.72"
"Market order: O00409, 09:41:55, SELL, 300"
"Add limit order: O00410, 09:41:57, BUY, 900, $ 30.53"
"Add limit order: O00411, 09:41:58, SELL, 500, $ 37.18"
"Market order: O00412, 09:42:01, SELL, 300"
"Add limit order: O00413, 09:42:04, BUY, 800, $ 31.31"
"Market order: O00414, 09:42:05, SELL, 800"
"Add limit order: O00415, 09:42:06, BUY, 100, $ 31.74"
"Add limit order: O00416, 09:42:08, SELL, 600, $ 37.82"
"Market order: O00417, 09:42:09, SELL, 600"
"Add limit order: O00418, 09:42:10, SELL, 100, $ 40.58"
"Add limit order: O00419, 09:42:11, SELL, 100, $ 35.65"
"Add limit order: O00420, 09:42:12, SELL, 500, $ 42.71"
"Add limit order: O00421, 09:42:13, BUY, 500, $ 32.01"
"Add limit order: O00422, 09:42:14, SELL, 100, $ 40.12"
"Market order: O00423, 09:42:15, BUY, 200"
"Market order: O00424, 09:42:16, SELL, 500"
"Add limit order: O00425, 09:42:17, BUY, 400, $ 28.49"
"Add limit order: O00426, 09:42:18, SELL, 300, $ 42.17"
"Market order: O00427, 09:42:20, SELL, 100"
"Market order: O00428, 09:42:21, BUY, 200"
"Market order: O00429, 09:42:25, BUY, 100"
"Cancel: O00368, 09:40:40, BUY, 200, $ 26.14"
"Add limit order: O00430, 09:42:31, BUY, 300, $ 34.75"
"Market order: O00431, 09:42:32, SELL, 400"
"Add limit order: O00432, 09:42:33, BUY, 400, $ 31.13"
"Market order: O00433, 09:42:36, SELL, 100"
"Market order: O00434, 09:42:38, SELL, 100"
"Market order: O00435, 09:42:40, SELL, 300"
"Market order: O00436, 09:42:41, BUY, 600"
"Add limit order: O00437, 09:42:42, SELL, 500, $ 38.52"
"Market order: O00438, 09:42:43, SELL, 800"
"Add limit order: O00439, 09:42:45, SELL, 500, $ 38.36"
"Market order: O00440, 09:42:46, SELL, 200"
"Add limit order: O00441, 09:42:50, SELL, 700, $ 37.31"
"Market order: O00442, 09:42:51, SELL, 200"
"Add limit order: O00443, 09:42:52, SELL, 800, $ 41.81"
"Market order: O00444, 09:42:53, SELL, 500"
