"Market order: O00001, 09:30:01, BUY, 900"
"Market order: O00002, 09:30:05, SELL, 700"
"Market order: O00055, 09:31:33, BUY, 100"
"Add limit order: O00056, 09:31:39, SELL, 200, $ 40.86"
"Add limit order: O00057, 09:31:40, SELL, 200, $ 44.01"
"Market order: O00058, 09:31:41, BUY, 400"
"Add limit order: O00059, 09:31:42, SELL, 500, $ 36.6"
"Add limit order: O00060, 09:31:46, SELL, 400, $ 43.59"
"Add limit order: O00061, 09:31:51, BUY, 500, $ 31.97"
"Market order: O00062, 09:31:54, SELL, 500"
"Market order: O00063, 09:31:56, BUY, 400"
"Add limit order: O00064, 09:31:59, BUY, 500, $ 30.17"
"Market order: O00065, 09:32:01, BUY, 700"
"Market order: O00066, 09:32:02, SELL, 700"
"Cancel: O00004, 09:30:07, BUY, 200, $ 25.79"
"Market order: O00067, 09:32:05, BUY, 500"
"Add limit order: O00068, 09:32:06, BUY, 500, $ 32.65"
"Add limit order: O00069, 09:32:09, BUY, 100, $ 25.58"
"Add limit order: O00070, 09:32:14, BUY, 300, $ 26.29"
"Add limit order: O00071, 09:32:15, SELL, 200, $ 36.73"
"Add limit order: O00072, 09:32:17, BUY, 600, $ 33.38"
"Add limit order: O00073, 09:32:19, SELL, 600, $ 38.44"
"Add limit order: O00074, 09:32:20, SELL, 400, $ 39.8"
"Add limit order: O00075, 09:32:22, SELL, 600, $ 38.65"
"Add limit order: O00076, 09:32:24, BUY, 700, $ 30.4"
"Market order: O00077, 09:32:26, BUY, 100"
"Cancel: O00010, 09:30:19, SELL, 300, $ 43.17"
"Market order: O00078, 09:32:29, SELL, 700"
"Market order: O00079, 09:32:31, SELL, 300"
"Add limit order: O00080, 09:32:32, BUY, 200, $ 34.71"
"Add limit order: O00081, 09:32:33, BUY, 200, $ 27.9"
"Add limit order: O00082, 09:32:34, BUY, 500, $ 26.68"
"Add limit order: O00083, 09:32:35, BUY, 900, $ 32.82"
"Add limit order: O00084, 09:32:36, BUY, 500, $ 28.45"
"Add limit order: O00085, 09:32:38, BUY, 300, $ 28.85"
"Market order: O00086, 09:32:39, BUY, 500"
"Add limit order: O00087, 09:32:41, BUY, 700, $ 34.44"
"Add limit order: O00088, 09:32:42, SELL, 200, $ 40.69"
"Add limit order: O00089, 09:32:43, SELL, 300, $ 43.44"
"Add limit order: O00090, 09:32:44, BUY, 300, $ 28.19"
"Add limit order: O00091, 09:32:46, SELL, 100, $ 39.78"
"Market order: O00092, 09:32:47, BUY, 500"
"Market order: O00093, 09:32:49, SELL, 200"
"Add limit order: O00094, 09:32:52, SELL, 700, $ 44.78"
"Add limit order: O00095, 09:32:55, BUY, 200, $ 30.28"
"Add limit order: O00096, 09:32:56, SELL, 300, $ 38.58"
"Market order: O00097, 09:32:58, SELL, 600"
"Add limit order: O00098, 09:32:59, BUY, 700, $ 27.95"
"Add limit order: O00099, 09:33:00, SELL, 300, $ 36.43"
"Add limit order: O00100, 09:33:01, SELL, 400, $ 35.15"
"Market order: O00101, 09:33:02, BUY, 600"
"Market order: O00102, 09:33:08, BUY, 100"
"Market order: O00103, 09:33:09, BUY, 600"
"Add limit order: O00104, 09:33:10, BUY, 200, $ 34.65"
"Add limit order: O00105, 09:33:11, BUY, 600, $ 28.89"
"Add limit order: O00106, 09:33:12, SELL, 500, $ 42.86"
"Market order: O00107, 09:33:13, BUY, 300"
"Add limit order: O00108, 09:33:17, BUY, 400, $ 29.92"
"Add limit order: O00109, 09:33:18, BUY, 200, $ 32.69"
"Add limit order: O00110, 09:33:19, BUY, 700, $ 25.09"
"Cancel: O00082, 09:32:34, BUY, 500, $ 26.68"
"Add limit order: O00111, 09:33:22, BUY, 600, $ 26.96"
"Market order: O00112, 09:33:24, SELL, 600"
"Market order: O00113, 09:33:25, SELL, 200"
"Add limit order: O00114, 09:33:26, BUY, 100, $ 29.08"
"Market order: O00115, 09:33:27, BUY, 200"
"Market order: O00116, 09:33:29, BUY, 200"
"Add limit order: O00117, 09:33:30, SELL, 200, $ 44.49"
"Add limit order: O00118, 09:33:31, SELL, 500, $ 35.34"
"Market order: O00119, 09:33:32, SELL, 500"
"Add limit order: O00120, 09:33:33, BUY, 400, $ 31.28"
"Market order: O00121, 09:33:36, BUY, 500"
"Add limit order: O00122, 09:33:37, SELL, 200, $ 36.07"
"Add limit order: O00123, 09:33:40, SELL, 400, $ 35.53"
"Add limit order: O00124, 09:33:42, SELL, 700, $ 44.52"
"Add limit order: O00125, 09:33:44, BUY, 400, $ 31.61"
"Market order: O00126, 09:33:45, SELL, 100"
"Add limit order: O00127, 09:33:49, SELL, 500, $ 44.23"
"Add limit order: O00128, 09:33:50, SELL, 200, $ 44.09"
"Market order: O00129, 09:33:54, SELL, 700"
"Market order: O00130, 09:33:56, BUY, 100"
"Add limit order: O00131, 09:33:58, BUY, 200, $ 27.38"
"Add limit order: O00132, 09:34:00, SELL, 400, $ 38.7"
"Add limit order: O00133, 09:34:01, SELL, 100, $ 42.4"
"Add limit order: O00134, 09:34:02, BUY, 300, $ 28.37"
"Market order: O00135, 09:34:03, BUY, 300"
"Add limit order: O00136, 09:34:05, BUY, 500, $ 31.33"
"Market order: O00137, 09:34:06, BUY, 200"
"Market order: O00138, 09:34:07, BUY, 500"
"Add limit order: O00139, 09:34:08, SELL, 100, $ 37.69"
"Market order: O00140, 09:34:10, SELL, 200"
"Market order: O00141, 09:34:14, BUY, 400"
"Add limit order: O00142, 09:34:15, SELL, 200, $ 44.23"
"Market order: O00143, 09:34:16, BUY, 500"
"Market order: O00144, 09:34:18, SELL, 300"
"Add limit order: O00145, 09:34:20, SELL, 300, $ 36.61"
"Market order: O00146, 09:34:23, BUY, 400"
"Add limit order: O00147, 09:34:26, BUY, 400, $ 28.45"
"Add limit order: O00148, 09:34:28, BUY, 200, $ 30.12"
"Add limit order: O00149, 09:34:29, SELL, 600, $ 43.92"
"Add limit order: O00150, 09:34:30, BUY, 100, $ 31.88"
"Market order: O00151, 09:34:31, BUY, 500"
"Market order: O00152, 09:34:32, SELL, 100"
"Add limit order: O00153, 09:34:33, BUY, 900, $ 30.71"
"Add limit order: O00154, 09:34:36, SELL, 500, $ 43.04"
"Add limit order: O00155, 09:34:37, SELL, 100, $ 38.29"
"Market order: O00156, 09:34:38, BUY, 900"
"Add limit order: O00157, 09:34:39, BUY, 100, $ 27.5"
"Add limit order: O00158, 09:34:40, SELL, 400, $ 38.02"
"Cancel: O00036, 09:30:58, BUY, 300, $ 25.51"
"Market order: O00159, 09:34:42, BUY, 400"
"Market order: O00160, 09:34:43, BUY, 300"
"Market order: O00161, 09:34:45, BUY, 300"
"Add limit order: O00162, 09:34:47, BUY, 100, $ 27.52"
"Add limit order: O00163, 09:34:48, BUY, 300, $ 29.53"
"Add limit order: O00164, 09:34:49, SELL, 400, $ 39.63"
"Add limit order: O00165, 09:34:50, BUY, 200, $ 33.95"
"Market order: O00166, 09:34:51, BUY, 300"
"Market order: O00167, 09:34:53, SELL, 100"
"Add limit order: O00168, 09:34:55, SELL, 400, $ 43.53"
"Add limit order: O00169, 09:34:56, SELL, 200, $ 37.44"
"Market order: O00170, 09:34:58, BUY, 200"
"Add limit order: O00171, 09:35:00, BUY, 700, $ 26.93"
"Market order: O00172, 09:35:01, BUY, 800"
"Add limit order: O00173, 09:35:02, BUY, 500, $ 27.12"
"Add limit order: O00174, 09:35:03, SELL, 100, $ 39.05"
"Add limit order: O00175, 09:35:07, BUY, 800, $ 31.62"
"Cancel: O00124, 09:33:42, SELL, 700, $ 44.52"
"Cancel: O00004, 09:30:07, BUY, 200, $ 25.79"
"Market order: O00176, 09:35:14, BUY, 400"
"Market order: O00177, 09:35:15, BUY, 500"
"Add limit order: O00178, 09:35:16, BUY, 100, $ 29.26"
"Market order: O00179, 09:35:17, BUY, 200"
"Add limit order: O00180, 09:35:18, SELL, 500, $ 39.76"
"Add limit order: O00181, 09:35:21, BUY, 100, $ 26.41"
"Add limit order: O00182, 09:35:22, SELL, 100, $ 38.62"
"Market order: O00183, 09:35:24, SELL, 400"
"Market order: O00184, 09:35:25, SELL, 400"
"Market order: O00185, 09:35:27, SELL, 500"
"Market order: O00186, 09:35:28, SELL, 900"
"Market order: O00187, 09:35:29, SELL, 300"
"Add limit order: O00188, 09:35:30, BUY, 200, $ 26.5"
"Add limit order: O00189, 09:35:32, BUY, 600, $ 32.34"
"Add limit order: O00190, 09:35:33, SELL, 700, $ 41.75"
"Market order: O00191, 09:35:34, BUY, 100"
"Add limit order: O00192, 09:35:37, SELL, 100, $ 38.11"
"Add limit order: O00193, 09:35:38, SELL, 700, $ 41.91"
"Add limit order: O00194, 09:35:39, SELL, 600, $ 41.16"
"Market order: O00195, 09:35:40, BUY, 800"
"Add limit order: O00196, 09:35:41, SELL, 400, $ 37.63"
"Add limit order: O00197, 09:35:42, SELL, 900, $ 38.76"
"Market order: O00198, 09:35:43, SELL, 400"
"Add limit order: O00199, 09:35:44, SELL, 200, $ 43.87"
"Market order: O00200, 09:35:46, BUY, 500"
"Add limit order: O00201, 09:35:48, BUY, 200, $ 30.27"
"Add limit order: O00202, 09:35:51, SELL, 800, $ 40.12"
"Add limit order: O00203, 09:35:52, BUY, 300, $ 32.34"
"Add limit order: O00204, 09:35:54, SELL, 300, $ 41.5"
"Market order: O00205, 09:35:55, SELL, 300"
"Add limit order: O00206, 09:35:56, BUY, 600, $ 29.02"
"Market order: O00207, 09:35:57, BUY, 200"
"Cancel: O00127, 09:33:49, SELL, 500, $ 44.23"
"Market order: O00208, 09:35:59, SELL, 200"
"Market order: O00209, 09:36:02, SELL, 600"
"Market order: O00210, 09:36:04, BUY, 400"
"Add limit order: O00211, 09:36:06, BUY, 100, $ 28.12"
"Add limit order: O00212, 09:36:08, BUY, 800, $ 25.02"
"Market order: O00213, 09:36:11, BUY, 200"
"Add limit order: O00214, 09:36:12, SELL, 300, $ 40.32"
"Add limit order: O00215, 09:36:13, SELL, 600, $ 44.84"
"Add limit order: O00216, 09:36:14, SELL, 100, $ 41.49"
"Add limit order: O00217, 09:36:17, BUY, 300, $ 32.31"
"Market order: O00218, 09:36:18, SELL, 300"
"Cancel: O00018, 09:30:36, BUY, 600, $ 25.82"
"Add limit order: O00219, 09:36:22, BUY, 600, $ 26.05"
"Market order: O00220, 09:36:24, SELL, 600"
"Market order: O00221, 09:36:25, BUY, 700"
"Market order: O00222, 09:36:26, SELL, 400"
"Market order: O00223, 09:36:27, BUY, 300"
"Market order: O00224, 09:36:28, SELL, 100"
"Add limit order: O00225, 09:36:29, BUY, 400, $ 29.6"
"Market order: O00226, 09:36:31, BUY, 200"
"Market order: O00227, 09:36:32, BUY, 300"
"Market order: O00228, 09:36:33, BUY, 300"
"Add limit order: O00229, 09:36:35, SELL, 400, $ 37.28"
"Market order: O00230, 09:36:38, SELL, 600"
"Add limit order: O00231, 09:36:39, SELL, 900, $ 42.51"
"Add limit order: O00232, 09:36:40, BUY, 300, $ 31.75"
"Add limit order: O00233, 09:36:46, SELL, 600, $ 43.34"
"Add limit order: O00234, 09:36:47, BUY, 400, $ 27.67"
"Market order: O00235, 09:36:48, BUY, 600"
"Market order: O00236, 09:36:49, SELL, 900"
"Cancel: O00012, 09:30:21, BUY, 300, $ 27.31"
"Market order: O00237, 09:36:52, SELL, 300"
"Market order: O00238, 09:36:53, BUY, 400"
"Add limit order: O00239, 09:36:56, BUY, 600, $ 28.67"
"Add limit order: O00240, 09:36:57, SELL, 400, $ 43.08"
"Market order: O00241, 09:36:59, SELL, 100"
"Add limit order: O00242, 09:37:00, SELL, 600, $ 42.91"
"Add limit order: O00243, 09:37:01, SELL, 400, $ 43.83"
"Market order: O00244, 09:37:02, SELL, 500"
"Market order: O00245, 09:37:03, SELL, 100"
"Market order: O00246, 09:37:05, SELL, 400"
"Add limit order: O00247, 09:37:06, SELL, 700, $ 36.67"
"Add limit order: O00248, 09:37:11, SELL, 500, $ 44.71"
"Market order: O00249, 09:37:12, BUY, 500"
"Add limit order: O00250, 09:37:14, BUY, 200, $ 25.25"
"Add limit order: O00251, 09:37:15, BUY, 800, $ 27.51"
"Add limit order: O00252, 09:37:16, BUY, 300, $ 26.84"
"Market order: O00253, 09:37:21, SELL, 900"
"Market order: O00254, 09:37:23, SELL, 100"
"Cancel: O00010, 09:30:19, SELL, 300, $ 43.17"
"Add limit order: O00255, 09:37:27, BUY, 300, $ 32.0"
"Add limit order: O00256, 09:37:28, SELL, 300, $ 35.18"
"Market order: O00257, 09:37:29, BUY, 100"
"Market order: O00258, 09:37:30, BUY, 600"
"Add limit order: O00259, 09:37:35, SELL, 100, $ 39.95"
"Add limit order: O00260, 09:37:36, SELL, 300, $ 39.29"
"Add limit order: O00261, 09:37:37, SELL, 500, $ 37.3"
"Add limit order: O00262, 09:37:38, BUY, 400, $ 26.41"
"Add limit order: O00263, 09:37:40, BUY, 300, $ 29.23"
"Add limit order: O00264, 09:37:41, SELL, 500, $ 44.42"
"Market order: O00265, 09:37:43, BUY, 600"
"Market order: O00266, 09:37:45, SELL, 100"
"Market order: O00267, 09:37:46, SELL, 500"
"Market order: O00268, 09:37:48, SELL, 100"
"Add limit order: O00269, 09:37:50, SELL, 800, $ 37.01"
"Market order: O00270, 09:37:51, BUY, 400"
"Add limit order: O00271, 09:37:52, SELL, 300, $ 43.52"
"Market order: O00272, 09:37:55, BUY, 400"
"Market order: O00273, 09:37:57, BUY, 400"
"Market order: O00274, 09:38:01, BUY, 400"
"Add limit order: O00275, 09:38:02, BUY, 600, $ 34.13"
"Market order: O00276, 09:38:05, SELL, 400"
"Market order: O00277, 09:38:06, BUY, 200"
"Add limit order: O00278, 09:38:08, BUY, 400, $ 34.26"
"Add limit order: O00279, 09:38:12, SELL, 800, $ 42.82"
"Market order: O00280, 09:38:13, BUY, 500"
"Add limit order: O00281, 09:38:14, SELL, 700, $ 38.82"
"Market order: O00282, 09:38:15, SELL, 400"
"Market order: O00283, 09:38:19, BUY, 400"
"Add limit order: O00284, 09:38:20, BUY, 400, $ 28.22"
"Market order: O00285, 09:38:23, SELL, 100"
"Market order: O00286, 09:38:24, BUY, 200"
"Market order: O00287, 09:38:26, SELL, 500"
"Market order: O00288, 09:38:27, BUY, 300"
"Market order: O00289, 09:38:28, SELL, 600"
"Market order: O00290, 09:38:32, SELL, 100"
"Add limit order: O00291, 09:38:33, SELL, 900, $ 37.49"
"Market order: O00292, 09:38:34, SELL, 800"
"Market order: O00293, 09:38:38, BUY, 100"
"Market order: O00294, 09:38:40, SELL, 200"
"Cancel: O00052, 09:31:29, BUY, 500, $ 25.6"
"Market order: O00295, 09:38:42, SELL, 200"
"Add limit order: O00296, 09:38:44, SELL, 900, $ 35.85"
"Market order: O00297, 09:38:45, SELL, 200"
"Add limit order: O00298, 09:38:46, BUY, 900, $ 30.79"
"Market order: O00299, 09:38:48, SELL, 200"
"Market order: O00300, 09:38:49, SELL, 400"
"Add limit order: O00301, 09:38:51, BUY, 200, $ 32.69"
"Market order: O00302, 09:38:52, SELL, 400"
"Add limit order: O00303, 09:38:53, SELL, 200, $ 43.4"
"Add limit order: O00304, 09:38:57, SELL, 600, $ 41.66"
"Add limit order: O00305, 09:38:58, SELL, 100, $ 36.33"
"Add limit order: O00306, 09:38:59, BUY, 300, $ 31.2"
"Market order: O00307, 09:39:02, SELL, 200"
"Add limit order: O00308, 09:39:04, BUY, 300, $ 27.7"
"Add limit order: O00309, 09:39:05, BUY, 700, $ 26.55"
"Market order: O00310, 09:39:07, BUY, 100"
"Add limit order: O00311, 09:39:08, SELL, 300, $ 37.93"
"Market order: O00312, 09:39:10, SELL, 500"
"Market order: O00313, 09:39:11, BUY, 400"
"Cancel: O00171, 09:35:00, BUY, 700, $ 26.93"
"Add limit order: O00314, 09:39:13, SELL, 300, $ 43.07"
"Market order: O00315, 09:39:14, SELL, 200"
"Market order: O00316, 09:39:17, SELL, 100"
"Market order: O00317, 09:39:18, SELL, 100"
"Cancel: O00082, 09:32:34, BUY, 500, $ 26.68"
"Add limit order: O00318, 09:39:20, SELL, 400, $ 40.59"
"Add limit order: O00319, 09:39:21, SELL, 600, $ 37.84"
"Market order: O00320, 09:39:22, SELL, 200"
"Add limit order: O00321, 09:39:23, SELL, 300, $ 41.18"
"Add limit order: O00322, 09:39:24, SELL, 600, $ 39.24"
"Add limit order: O00323, 09:39:25, SELL, 800, $ 44.0"
"Add limit order: O00324, 09:39:27, BUY, 800, $ 27.6"
"Add limit order: O00325, 09:39:29, SELL, 600, $ 44.39"
"Market order: O00326, 09:39:31, BUY, 100"
"Market order: O00327, 09:39:33, SELL, 700"
"Add limit order: O00328, 09:39:34, BUY, 200, $ 25.7"
"Add limit order: O00329, 09:39:41, SELL, 600, $ 43.2"
"Add limit order: O00330, 09:39:42, SELL, 500, $ 42.76"
"Cancel: O00154, 09:34:36, SELL, 500, $ 43.04"
"Market order: O00331, 09:39:46, SELL, 900"
"Add limit order: O00332, 09:39:48, BUY, 100, $ 32.76"
"Add limit order: O00333, 09:39:49, BUY, 300, $ 33.78"
"Add limit order: O00334, 09:39:50, BUY, 700, $ 30.18"
"Market order: O00335, 09:39:52, BUY, 100"
"Add limit order: O00336, 09:39:53, BUY, 400, $ 31.24"
"Add limit order: O00337, 09:39:54, SELL, 100, $ 38.92"
"Market order: O00338, 09:39:56, BUY, 500"
"Add limit order: O00339, 09:39:57, BUY, 400, $ 25.27"
"Market order: O00340, 09:39:58, BUY, 100"
"Add limit order: O00341, 09:39:59, BUY, 900, $ 27.52"
"Add limit order: O00342, 09:40:01, BUY, 200, $ 28.8"
"Market order: O00343, 09:40:02, BUY, 600"
"Market order: O00344, 09:40:04, BUY, 300"
"Market order: O00345, 09:40:05, SELL, 300"
"Market order: O00346, 09:40:06, SELL, 400"
"Add limit order: O00347, 09:40:10, SELL, 200, $ 43.36"
"Add limit order: O00348, 09:40:12, BUY, 200, $ 32.49"
"Add limit order: O00349, 09:40:13, SELL, 200, $ 36.36"
"Cancel: O00089, 09:32:43, SELL, 300, $ 43.44"
"Market order: O00350, 09:40:16, BUY, 200"
"Market order: O00351, 09:40:17, SELL, 800"
"Add limit order: O00352, 09:40:21, SELL, 300, $ 40.14"
"Add limit order: O00353, 09:40:22, BUY, 100, $ 25.79"
"Market order: O00354, 09:40:24, BUY, 400"
"Cancel: O00004, 09:30:07, BUY, 200, $ 25.79"
"Market order: O00355, 09:40:27, SELL, 200"
"Market order: O00356, 09:40:28, SELL, 200"
"Add limit order: O00357, 09:40:29, BUY, 200, $ 25.27"
"Cancel: O00243, 09:37:01, SELL, 400, $ 43.83"
"Market order: O00358, 09:40:32, SELL, 600"
"Market order: O00359, 09:40:33, BUY, 300"
"Market order: O00360, 09:40:38, SELL, 500"
"Cancel: O00240, 09:36:57, SELL, 400, $ 43.08"
"Add limit order: O00361, 09:40:40, BUY, 600, $ 28.54"
"Market order: O00362, 09:40:42, BUY, 100"
"Add limit order: O00363, 09:40:44, SELL, 200, $ 42.19"
"Market order: O00364, 09:40:47, BUY, 400"
"Add limit order: O00365, 09:40:48, SELL, 500, $ 36.27"
"Add limit order: O00366, 09:40:49, BUY, 500, $ 32.36"
"Add limit order: O00367, 09:40:51, BUY, 500, $ 31.95"
"Add limit order: O00368, 09:40:52, SELL, 500, $ 41.54"
"Market order: O00369, 09:40:55, SELL, 100"
"Market order: O00370, 09:40:58, SELL, 300"
"Cancel: O00060, 09:31:46, SELL, 400, $ 43.59"
"Market order: O00371, 09:41:02, SELL, 400"
"Add limit order: O00372, 09:41:04, BUY, 200, $ 29.63"
"Market order: O00373, 09:41:05, SELL, 300"
"Cancel: O00264, 09:37:41, SELL, 500, $ 44.42"
"Market order: O00374, 09:41:07, BUY, 100"
"Add limit order: O00375, 09:41:08, SELL, 800, $ 40.57"
"Add limit order: O00376, 09:41:10, BUY, 600, $ 32.11"
"Add limit order: O00377, 09:41:11, BUY, 200, $ 30.92"
"Market order: O00378, 09:41:12, SELL, 100"
"Market order: O00379, 09:41:14, SELL, 300"
"Market order: O00380, 09:41:16, SELL, 300"
"Market order: O00381, 09:41:17, BUY, 200"
"Add limit order: O00382, 09:41:18, BUY, 100, $ 26.26"
"Market order: O00383, 09:41:21, SELL, 200"
"Add limit order: O00384, 09:41:22, BUY, 200, $ 30.07"
"Add limit order: O00385, 09:41:23, BUY, 400, $ 33.43"
"Add limit order: O00386, 09:41:24, BUY, 700, $ 32.87"
"Add limit order: O00387, 09:41:26, BUY, 200, $ 25.4"
"Add limit order: O00388, 09:41:27, SELL, 700, $ 44.47"
"Market order: O00389, 09:41:33, SELL, 200"
"Add limit order: O00390, 09:41:35, BUY, 300, $ 30.95"
"Market order: O00391, 09:41:36, SELL, 200"
"Market order: O00392, 09:41:38, BUY, 700"
"Add limit order: O00393, 09:41:39, SELL, 100, $ 39.32"
"Add limit order: O00394, 09:41:41, BUY, 900, $ 30.16"
"Market order: O00395, 09:41:42, SELL, 200"
"Market order: O00396, 09:41:44, SELL, 200"
"Add limit order: O00397, 09:41:45, SELL, 400, $ 41.91"
"Market order: O00398, 09:41:46, SELL, 600"
"Market order: O00399, 09:41:47, BUY, 500"
"Add limit order: O00400, 09:41:48, BUY, 600, $ 29.55"
"Market order: O00401, 09:41:50, SELL, 300"
"Market order: O00402, 09:41:52, BUY, 900"
"Add limit order: O00403, 09:41:53, SELL, 500, $ 43.61"
"Add limit order: O00404, 09:41:55, BUY, 500, $ 32.45"
"Market order: O00405, 09:41:56, BUY, 100"
"Add limit order: O00406, 09:42:01, SELL, 100, $ 44.88"
"Add limit order: O00407, 09:42:02, SELL, 500, $ 42.28"
"Add limit order: O00408, 09:42:04, SELL, 500, $ 40.7"
"Add limit order: O00409, 09:42:07, BUY, 400, $ 27.7"
"Market order: O00410, 09:42:08, SELL, 200"
"Market order: O00411, 09:42:10, SELL, 100"
"Market order: O00412, 09:42:11, SELL, 600"
"Add limit order: O00413, 09:42:13, BUY, 400, $ 34.45"
"Add limit order: O00414, 09:42:14, SELL, 200, $ 43.35"
"Add limit order: O00415, 09:42:15, SELL, 700, $ 42.38"
"Cancel: O00212, 09:36:08, BUY, 800, $ 25.02"
"Add limit order: O00416, 09:42:18, SELL, 300, $ 35.18"
"Market order: O00417, 09:42:20, BUY, 200"
"Market order: O00418, 09:42:21, BUY, 100"
"Market order: O00419, 09:42:22, SELL, 800"
"Add limit order: O00420, 09:42:24, SELL, 300, $ 44.56"
"Market order: O00421, 09:42:25, SELL, 500"
"Market order: O00422, 09:42:26, SELL, 200"
"Add limit order: O00423, 09:42:27, BUY, 600, $ 26.34"
"Market order: O00424, 09:42:31, SELL, 300"
"Market order: O00425, 09:42:32, SELL, 100"
"Add limit order: O00426, 09:42:33, SELL, 400, $ 42.23"
"Add limit order: O00427, 09:42:34, BUY, 700, $ 30.58"
"Add limit order: O00428, 09:42:36, SELL, 200, $ 43.99"
"Add limit order: O00429, 09:42:39, SELL, 200, $ 36.42"
"Add limit order: O00430, 09:42:42, BUY, 800, $ 33.37"
"Add limit order: O00431, 09:42:46, BUY, 500, $ 28.24"
"Add limit order: O00432, 09:42:47, SELL, 600, $ 40.03"
"Add limit order: O00433, 09:42:48, SELL, 600, $ 40.69"
"Market order: O00434, 09:42:49, SELL, 100"
"Add limit order: O00435, 09:42:50, BUY, 500, $ 29.74"
"Market order: O00436, 09:42:51, BUY, 400"
"Market order: O00437, 09:42:56, BUY, 600"
"Add limit order: O00438, 09:42:57, BUY, 500, $ 26.46"
"Add limit order: O00439, 09:43:01, BUY, 100, $ 34.23"
"Market order: O00440, 09:43:02, SELL, 800"
"Market order: O00441, 09:43:03, BUY, 200"
"Market order: O00442, 09:43:04, SELL, 200"
"Add limit order: O00443, 09:43:05, BUY, 100, $ 28.26"
"Add limit order: O00444, 09:43:06, SELL, 400, $ 43.0"
"Add limit order: O00445, 09:43:07, SELL, 200, $ 35.3"
"Market order: O00446, 09:43:17, SELL, 600"
"Market order: O00447, 09:43:18, SELL, 500"
"Cancel: O00018, 09:30:36, BUY, 600, $ 25.82"
"Add limit order: O00448, 09:43:20, SELL, 300, $ 44.42"
"Market order: O00449, 09:43:21, SELL, 200"
"Market order: O00450, 09:43:22, BUY, 300"
"Add limit order: O00451, 09:43:25, SELL, 500, $ 44.82"
"Market order: O00452, 09:43:35, BUY, 500"
"Add limit order: O00453, 09:43:37, BUY, 300, $ 28.03"
"Add limit order: O00454, 09:43:40, BUY, 100, $ 30.99"
